ID;Orden;Cliente;Tipo;Concepto;Oficina;Tráfico;Partner;Factura;Fecha factura;Moneda;Neto;IVA;Neto (local);IVA (local);Fecha económica;Fecha booking;No. asiento;Actualizado
2345;CGL26024079;JOINT PRODUCTION;income;IAT02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;11.303,06;1.808,49;11.303,06;1.808,49;13/02/2026;13/02/2026;1-003749;02/03/2026 19:01
2344;CGL26024078;JOINT PRODUCTION;income;IAT02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;16.670,25;2.667,24;16.670,25;2.667,24;13/02/2026;13/02/2026;1-003748;02/03/2026 19:01
2342;CGL26024078;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;7.200,00;1.152,00;7.200,00;1.152,00;13/02/2026;13/02/2026;1-003748;02/03/2026 19:01
2340;CGL26024078;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;3.000,00;480;3.000,00;480;13/02/2026;13/02/2026;1-003748;02/03/2026 19:01
2338;CGL26024077;JOINT PRODUCTION;income;IAT02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;121.599,56;19.455,93;121.599,56;19.455,93;13/02/2026;13/02/2026;1-003747;02/03/2026 19:01
2337;CGL26024077;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;3.000,00;480;3.000,00;480;13/02/2026;13/02/2026;1-003747;02/03/2026 19:01
2336;CGL26024077;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;7.200,00;1.152,00;7.200,00;1.152,00;13/02/2026;13/02/2026;1-003747;02/03/2026 19:01
2331;CGL26024066;JOINT PRODUCTION;income;IAT02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;60.782,96;9.725,27;60.782,96;9.725,27;09/02/2026;09/02/2026;1-003746;02/03/2026 19:01
2330;CGL26024066;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;7.200,00;1.152,00;7.200,00;1.152,00;09/02/2026;09/02/2026;1-003746;02/03/2026 19:01
2326;CGL26024062;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;7.200,00;1.152,00;7.200,00;1.152,00;09/02/2026;09/02/2026;1-003745;02/03/2026 19:01
2325;CGL26024062;JOINT PRODUCTION;income;IAT02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;268.482,13;42.957,14;268.482,13;42.957,14;09/02/2026;09/02/2026;1-003745;02/03/2026 19:01
2324;CGL26024062;JOINT PRODUCTION;income;IAD09;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;3.000,00;480;3.000,00;480;09/02/2026;09/02/2026;1-003745;02/03/2026 19:01
2321;CGL26024065;JOINT PRODUCTION;income;IAD02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;7.200,00;1.152,00;7.200,00;1.152,00;09/02/2026;09/02/2026;1-003744;02/03/2026 19:01
2319;CGL26024065;JOINT PRODUCTION;income;IAT02;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;412.230,43;65.956,87;412.230,43;65.956,87;09/02/2026;09/02/2026;1-003744;02/03/2026 19:01
2317;CGL26024065;JOINT PRODUCTION;income;PT01;1000;air;C0069 JOINT PRODUCTION;;27/02/2026;MXN;2.231,00;0;2.231,00;0;09/02/2026;09/02/2026;1-003744;02/03/2026 19:01
2488;CGL26014014;SOLUCION INTEGRAL DE MANUFACTURA;payable;PT01;1000;sea;P0997 TESORERIA DE LA FEDERACION;26 43 1742 6000520;26/02/2026;MXN;7.043,00;0;7.043,00;0;31/01/2026;31/01/2026;8760;02/03/2026 19:02
2393;CGL26024112;NAPS-GUANAJUATO;payable;CAD02;1000;air;P0013 GRUPO CAMILI;65682;26/02/2026;MXN;4.900,00;784;4.900,00;784;22/02/2026;22/02/2026;8725;02/03/2026 19:01
2392;CGL26024112;NAPS-GUANAJUATO;payable;CAT02;1000;air;P0989 COMPROBADOS GRUPO CAMILI;C65682;26/02/2026;MXN;11.779,34;1.884,69;11.779,34;1.884,69;22/02/2026;22/02/2026;8726;02/03/2026 19:01
2382;CGL26024070;JOINT PRODUCTION;payable;CAD02;2000;road;P0013 GRUPO CAMILI;65687;26/02/2026;MXN;2.510,00;200,8;2.510,00;200,8;09/02/2026;09/02/2026;8737;02/03/2026 19:01
2381;CGL26024070;JOINT PRODUCTION;payable;CTR08;2000;road;P0179 CAMILI FORWARDING ING;32817;26/02/2026;USD;415;0;7.134,27;0;09/02/2026;09/02/2026;8743;02/03/2026 19:01
2322;CGL26024065;JOINT PRODUCTION;payable;CAD02;1000;air;P0013 GRUPO CAMILI;65683;26/02/2026;MXN;70;11,2;70;11,2;09/02/2026;09/02/2026;8721;02/03/2026 19:01
2318;CGL26024065;JOINT PRODUCTION;payable;PT01;1000;air;P0989 COMPROBADOS GRUPO CAMILI;26 85 1780 6000055;26/02/2026;MXN;2.231,00;0;2.231,00;0;09/02/2026;09/02/2026;8722;02/03/2026 19:01
2305;CGL26024082;NAPS-GUANAJUATO;income;IAD02;1000;air;C0051 NAPS-GUANAJUATO;;26/02/2026;MXN;7.200,00;1.152,00;7.200,00;1.152,00;15/02/2026;15/02/2026;1-003743;02/03/2026 19:01
2299;CGL26024082;NAPS-GUANAJUATO;income;ITR03;1000;air;C0051 NAPS-GUANAJUATO;;26/02/2026;MXN;1.500,00;240;1.500,00;240;15/02/2026;15/02/2026;1-003743;02/03/2026 19:01
2298;CGL26024082;NAPS-GUANAJUATO;income;IAT02;1000;air;C0051 NAPS-GUANAJUATO;;26/02/2026;MXN;13.445,16;2.151,23;13.445,16;2.151,23;15/02/2026;15/02/2026;1-003743;02/03/2026 19:01
2297;CGL26024082;NAPS-GUANAJUATO;income;PT01;1000;air;C0051 NAPS-GUANAJUATO;;26/02/2026;MXN;1.307,00;0;1.307,00;0;15/02/2026;15/02/2026;1-003743;02/03/2026 19:01
2296;CGL26024082;NAPS-GUANAJUATO;income;ITR02;1000;air;C0051 NAPS-GUANAJUATO;;26/02/2026;MXN;14.750,00;2.360,00;14.750,00;2.360,00;15/02/2026;15/02/2026;1-003743;02/03/2026 19:01
2278;CGL26013944;NAPS-GUANAJUATO;income;IAD02;2000;road;C0002 NAPS-GUANAJUATO;;26/02/2026;MXN;4.500,00;720;4.500,00;720;16/01/2026;16/01/2026;2-003742;02/03/2026 19:01
2277;CGL26013944;NAPS-GUANAJUATO;income;PT01;2000;road;C0002 NAPS-GUANAJUATO;;26/02/2026;MXN;73.907,00;0;73.907,00;0;16/01/2026;16/01/2026;2-003742;02/03/2026 19:01
2276;CGL26013944;NAPS-GUANAJUATO;income;IAD11;2000;road;C0002 NAPS-GUANAJUATO;;26/02/2026;MXN;15.000,00;2.400,00;15.000,00;2.400,00;16/01/2026;16/01/2026;2-003742;02/03/2026 19:01
2275;CGL26024036;NAPS-GUANAJUATO;income;PT01;2000;road;C0002 NAPS-GUANAJUATO;;26/02/2026;MXN;30.963,00;0;30.963,00;0;05/02/2026;05/02/2026;2-003741;02/03/2026 19:01
2273;CGL26024036;NAPS-GUANAJUATO;income;IAD02;2000;road;C0002 NAPS-GUANAJUATO;;26/02/2026;MXN;4.500,00;720;4.500,00;720;05/02/2026;05/02/2026;2-003741;02/03/2026 19:01
2269;CGL26024057;JOINT PRODUCTION;income;IAT02;1000;air;C0069 JOINT PRODUCTION;;26/02/2026;MXN;27.341,76;4.374,68;27.341,76;4.374,68;07/02/2026;07/02/2026;1-003740;02/03/2026 19:01
2267;CGL26024057;JOINT PRODUCTION;income;PT01;1000;air;C0069 JOINT PRODUCTION;;26/02/2026;MXN;104.327,00;0;104.327,00;0;07/02/2026;07/02/2026;1-003740;02/03/2026 19:01
