SERIE;FACTURA;REFERENCIA ;FECHA;CLIENTE;CLIENTE NOMBRE;COMPROBADOS;COMPLEMENTARIOS;IVA;SUBTOTAL;ANTICIPO;TOTAL;MONEDA;;;DOCUMENTACION, ALMACENAJES Y MANIOBRAS ( TER) ;IMPUESTOS ADUANALES (TER);;HONORARIOS ;REVALIDACION GUIA / BOL ;MANIOBRAS;ALMACENAJES;SERVICIOS LOGISTICOS;RECONOCIMIENTO ADUANERO ;DESCONSOLIDACION;SERVICIOS COMPLEMENTARIOS ;SERVICIOS EXTRAORDINARIO ;RECTIFICACIONES;LIMPIEZA DE CONTENEDOR ;DEMORAS;LIBERACIONES DOCUMENTOS;GASTOS EN DESTINO;SERVICIO DE MENSAJERIA ;CERTIFICADO DE ORIGEN ;;PROFIT;EJECUTIVO;T OPE;;;MXN;USD;TOTAL;PORCENTAJE;
2;2-003628;CGL26013921;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 4.200,00 ;672,00;5.255,00;5.255,00;0,00;MXN;;;0,00;383,00;;4.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;47%;LOREFANY ;T;;;;;;;
2;2-003629;CGL26013937;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 4.200,00 ;672,00;5.255,00;5.255,00;0,00;MXN;;;0,00;383,00;;4.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;47%;LUIS ;T;;;;;;;
2;2-003630;CGL26013938;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 4.200,00 ;672,00;5.255,00;5.255,00;0,00;MXN;;;0,00;383,00;;4.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;47%;LUIS;T;;;;;;;
2;2-003631;CGL26013972;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 4.200,00 ;672,00;5.255,00;5.255,00;0,00;MXN;;;0,00;383,00;;4.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;47%;LUIS ;T;;;;;;;
2;2-003632;CGL26013970;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 4.200,00 ;672,00;5.255,00;5.255,00;0,00;MXN;;;0,00;383,00;;4.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;47%;LUIS;T;;;;;;;
2;2-003633;CGL26013971;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 4.200,00 ;672,00;5.255,00;5.255,00;0,00;MXN;;;0,00;383,00;;4.200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;47%;LUIS ;T;;;;;;;
2;2-003634;CGL26013917;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;845,00; 4.500,00 ;720,00;6.065,00;6.065,00;0,00;MXN;;;0,00;845,00;;4.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;44%;LOREFANY ;T;;;;;;;
2;2-003635;CGL26013918;29-ene-26;C0002;NAPS-GUANAJUATO CAM ;845,00; 4.500,00 ;720,00;6.065,00;6.065,00;0,00;MXN;;;0,00;845,00;;4.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;46%;LOREFANY ;T;;;;;;;
2;2-003636;CGL25123829;30-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 134.000,00 ;21.440,00;155.440,00;155.440,00;0,00;MXN;;;0,00;0,00;;48.000,00;0,00;80.400,00;0,00;0,00;0,00;0,00;0,00;5.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;42%;ALONSO ;T;;;;;;;
2;2-003637;CGL25123887;30-ene-26;C0069;JOINT PRODUCTION HONOR ;11.009,00; 21.400,00 ;3.424,00;35.833,00;35.833,00;0,00;MXN;;;0,00;11.009,00;;8.000,00;0,00;13.400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;41%;ALONSO ;T;;;;;;;
2;2-003638;CGL26013925;30-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 9.337,00 ;1.493,92;11.213,92;11.213,92;0,00;MXN;;;0,00;383,00;;4.200,00;0,00;2.137,00;0,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;53%;LOREFANY ;T;;;;;;;
2;2-003639;CGL25123820;30-ene-26;C0002;NAPS-GUANAJUATO CAM ;845,00; 4.500,00 ;720,00;6.065,00;6.065,00;0,00;MXN;;;0,00;845,00;;4.500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;44%;LOREFANY ;T;;;;;;;
2;2-003640;CGL26013955;30-ene-26;C0002;NAPS-GUANAJUATO CAM ;383,00; 9.370,00 ;1.499,20;11.252,20;16.623,00;(5.370,80);MXN;;;0,00;383,00;;6.000,00;0,00;1.570,00;0,00;0,00;0,00;0,00;0,00;1.800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;34%;LUIS ;A;;;;;;;
2;2-003642;CGL26013912;30-ene-26;C0069;JOINT PRODUCTION HONOR ;6.897,00; 85.600,00 ;13.696,00;106.193,00;106.193,00;0,00;MXN;;;0,00;6.897,00;;32.000,00;0,00;53.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;52%;ALONSO ;T ;;;;;;;
2;2-003643;CGL26013910;30-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 42.800,00 ;6.848,00;49.648,00;49.648,00;0,00;MXN;;;0,00;0,00;;16.000,00;0,00;26.800,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;46%;ALONSO ;T;;;;;;;
2;2-003644;CGL26013911;30-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 85.600,00 ;13.696,00;99.296,00;99.296,00;0,00;MXN;;;0,00;0,00;;32.000,00;0,00;53.600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;51%;ALONSO ;T;;;;;;;
2;2-003645;CGL25123868;30-ene-26;C0069;JOINT PRODUCTION HONOR ;0,00; 107.000,00 ;17.120,00;124.120,00;124.120,00;0,00;MXN;;;0,00;0,00;;40.000,00;0,00;67.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;47%;ALONSO ;T;;;;;;;
2;2-003646;CGL26013977;30-ene-26;C0069;JOINT PRODUCTION HONOR ;383,00; 7.400,00 ;1.184,00;8.967,00;14.649,00;(5.682,00);MXN;;;0,00;383,00;;7.400,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;70%;ALONSO ;T;;;;;;;
1;1-003647;CGL26013950;30-ene-26;C0069;JOINT PRODUCTION HONOR ;1.307,00; 16.734,15 ;2.677,46;20.718,61;54.752,00;(34.033,39);MXN;;;0,00;1.307,00;;7.200,00;0,00;6.534,15;0,00;0,00;0,00;0,00;0,00;3.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00; -   ;30%;ALONSO ;A;;;;;;;
